2023-10-21 11:16:46.480 | INFO     | __main__:main:73 - Запуск приложения...
2023-10-21 11:16:46.480 | INFO     | __main__:load_transactions:14 - Загрузка транзакций из файла...
2023-10-21 11:16:46.480 | INFO     | __main__:load_transactions:30 - Баланс загружен. Текущий баланс: 0
2023-10-21 11:16:55.439 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Доход, Сумма - 10000.0, Описание - Подарок от Деда
2023-10-21 11:16:55.440 | SUCCESS  | __main__:log_transaction:54 - Транзакция записана. Текущий баланс: 10000.0
2023-10-21 11:17:06.454 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Доход, Сумма - 2300.0, Описание - Раздача листовок
2023-10-21 11:17:06.456 | SUCCESS  | __main__:log_transaction:54 - Транзакция записана. Текущий баланс: 12300.0
2023-10-21 11:17:23.602 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Доход, Сумма - 100.0, Описание - нашёл в зимней куртке
2023-10-21 11:17:23.602 | SUCCESS  | __main__:log_transaction:54 - Транзакция записана. Текущий баланс: 12400.0
2023-10-21 11:17:34.375 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Расход, Сумма - 4000.0, Описание - купил новую мышку
2023-10-21 11:17:34.376 | SUCCESS  | __main__:log_transaction:54 - Транзакция записана. Текущий баланс: 8400.0
2023-10-21 11:17:50.845 | INFO     | __main__:log_transaction:33 - Запись новой транзакции: Тип - Расход, Сумма - 2000.0, Описание - купил маме цветы
2023-10-21 11:17:50.846 | SUCCESS  | __main__:log_transaction:54 - Транзакция записана. Текущий баланс: 6400.0
2023-10-21 11:17:56.303 | INFO     | __main__:get_monthly_transactions:58 - Поиск транзакций за текущий месяц (месяц 10)...
2023-10-21 11:17:56.306 | INFO     | __main__:get_monthly_transactions:66 - Поиск завершен.
